treatment,lh_diff
1,0
2,-0.383752536342
3,0.850270670013
4,0.183669487637
5,7.04970919032
6,-7.64837702838
7,-1.231097462491
8,-0.823930620727
9,-0.255113590154
10,0.005097885644
11,0
12,-8.290000145874
13,-17.347138468088
14,-17.347138468088
15,-24.463461435542
16,0
17,2.741320002641
18,3.11203658589
19,10.734989494432
20,11.552442151998
21,21.071175102859
22,-4.299493777723
23,-2.814324308093
24,-7.205212734123
25,-3.686298231694
26,9.380792854524
27,0.582210198875
28,-3.829504345003
29,1.141782845489
30,11.83692822435
31,0
32,-25.545970422023
33,-29.848862364878
34,-28.988283976307
35,-46.199851747729
36,0
37,10.762303761776
38,13.189082796067
39,7.579675467003
40,-1.153542269006
